"Story","Title","Result","Date","Stability","Duration (s)"
"Potentivio - Hire Artist","User hire artist successfully","SUCCESS","2022-05-13T00:26:12.971+07:00[Asia/Jakarta]","0.0","22.18"
"Potentivio - Hire Artist","User access detail artist successfully","FAILURE","2022-05-13T16:14:28.657+07:00[Asia/Bangkok]","0.0","12.45"
